source_file,stock_name,ts_code,column,missing_count
三一重工行情数据.csv,三一重工,600031.SH,ts_code,0
三一重工行情数据.csv,三一重工,600031.SH,trade_date,0
三一重工行情数据.csv,三一重工,600031.SH,open,0
三一重工行情数据.csv,三一重工,600031.SH,high,0
三一重工行情数据.csv,三一重工,600031.SH,low,0
三一重工行情数据.csv,三一重工,600031.SH,close,0
三一重工行情数据.csv,三一重工,600031.SH,pre_close,0
三一重工行情数据.csv,三一重工,600031.SH,change,0
三一重工行情数据.csv,三一重工,600031.SH,pct_chg,0
三一重工行情数据.csv,三一重工,600031.SH,vol,0
三一重工行情数据.csv,三一重工,600031.SH,amount,0
三一重工行情数据.csv,三一重工,600031.SH,source_file,0
三一重工行情数据.csv,三一重工,600031.SH,stock_name,0
平安集团行情数据.csv,平安集团,000001.SZ,ts_code,0
平安集团行情数据.csv,平安集团,000001.SZ,trade_date,0
平安集团行情数据.csv,平安集团,000001.SZ,open,0
平安集团行情数据.csv,平安集团,000001.SZ,high,0
平安集团行情数据.csv,平安集团,000001.SZ,low,0
平安集团行情数据.csv,平安集团,000001.SZ,close,0
平安集团行情数据.csv,平安集团,000001.SZ,pre_close,0
平安集团行情数据.csv,平安集团,000001.SZ,change,0
平安集团行情数据.csv,平安集团,000001.SZ,pct_chg,0
平安集团行情数据.csv,平安集团,000001.SZ,vol,0
平安集团行情数据.csv,平安集团,000001.SZ,amount,0
平安集团行情数据.csv,平安集团,000001.SZ,source_file,0
平安集团行情数据.csv,平安集团,000001.SZ,stock_name,0
